"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCDC14",117.585230169961,-2.05618527507416,0.532276889326413,-3.86299934546515,0.000112003308055297,0.00338035300441755
"CCDC141",270.322590262165,-2.19092772729708,0.47555029099504,-4.60714201796152,4.08241190318329e-06,0.000233340598164826
"CCDC144A",170.397708426762,-2.92940790925173,0.5593544457631,-5.23712277866189,1.63099198518727e-07,1.5555003561586e-05
"CCDC144B",486.369658085666,-2.47671210298011,0.457766009823425,-5.41043251318607,6.28727138045076e-08,7.09017292835968e-06
"CCDC144CP",114.469240133769,-2.52289171158613,0.553514315070624,-4.55795205814005,5.16548241139531e-06,0.000282661971954714
"CCDC146",43.1509446609284,-2.23175663581343,0.717354865346152,-3.11109151638153,0.00186397162137248,0.0293764743727164
"CCDC171",23.7219232996972,-2.65089881387354,0.914474016410414,-2.89882354916886,0.00374565623986325,0.0477725458256241
"CCDC18-AS1",164.027137135701,-2.95814655618796,0.514324590277006,-5.7515168671884,8.84462547137874e-09,1.35838036260164e-06
"CCDC7",123.638082781835,-2.23858576386516,0.540108807453403,-4.14469405603664,3.40267699003865e-05,0.00134894724379442
"CCDC88B",112.152663560948,-2.04749642124638,0.577440697635806,-3.54581246113993,0.000391404653255469,0.00918782512353555
"CCL18",34.9124861084877,3.03476826684331,0.978045006839279,3.10289224485761,0.0019163940330902,0.0298696968074337
"CCL23",27.3326377088752,3.64940722751019,0.923215566780337,3.95293077676029,7.71997760820037e-05,0.0025116262432917
"CCL3",71935.0320955676,3.62513981431683,0.690441517407613,5.2504661479919,1.51714785240707e-07,1.47213744814977e-05
"CCL3P1",5848.66088935879,3.30176392598629,0.744702006869429,4.43367131487427,9.26418289379937e-06,0.000467127530203962
"CCL4",34914.2339739968,2.39596209297787,0.541246408269032,4.42674917814315,9.56638604498585e-06,0.000476605919674071
"CCL4L1",3489.16977207984,2.2422499326621,0.640384069794157,3.50141428936989,0.000462795806538794,0.0104520460231833
"CCL4L2",21638.157487576,2.2735209812067,0.622265094592221,3.65362126361365,0.0002585675862012,0.00672195173473212
"CCL7",4700.07196505322,2.94418375330419,0.639380396142794,4.6047451111508,4.12971354765059e-06,0.000235238631775728
"CCL8",219.484724163754,7.4620416050251,0.93034644333759,8.0207127769041,1.05133300554087e-15,6.49879550462118e-13
"CCNA1",28.8900520218924,2.56480569977314,0.839100709332484,3.05661247958362,0.00223853475036793,0.0331025367048925
"CCR3",21.4621746013486,3.32444444573195,0.959151762982087,3.46602547588086,0.000528213227088453,0.0115405166959147
"CD163",875.387696198609,2.00877205151307,0.593472373243474,3.38477769493233,0.000712359219873025,0.0144112428844616
"CD1D",131.816067415522,-2.3810449089309,0.543980464719853,-4.37707797127811,1.20280954835685e-05,0.000575211786878964
"CD248",15.392120401476,-6.97025718401476,1.76688151302681,-3.94494884497045,7.98170160473282e-05,0.00258669125792215
"CD274",158.945608569327,2.7291628600953,0.499089777095029,5.46828042838404,4.54422535517813e-08,5.45633965308798e-06
"CD300E",15645.1531046727,2.38129867182418,0.489183150446723,4.86790820503441,1.12785693426393e-06,8.14888841249569e-05
"CD80",66.1954534658414,4.00886322045459,0.698134923626546,5.74224707113931,9.34283680074302e-09,1.40479230814776e-06
"CD82",2404.58052910722,2.2569118710924,0.408593107896165,5.52361708378582,3.32090809231098e-08,4.24852424389146e-06
"CD8A",3340.20454166003,2.28687394015542,0.392260472454323,5.82998823676203,5.54312832648523e-09,8.98202056010082e-07
"CD9",1360.25354430903,2.87612517200394,0.657902115194612,4.37166123284641,1.2330474283978e-05,0.000586312295725337
"CDH1",58.1204894337425,2.28226955393239,0.677621158561893,3.36806123170064,0.000756987818338532,0.0151125917321413
"CDKN1C",65.9769887176913,-2.54842768134535,0.655847629255045,-3.8857008360921,0.000102035098061149,0.00315013082246689
"CDKN2B",267.561109716568,3.21071594261974,0.60213886551782,5.33218519262766,9.70379001797796e-08,1.02213904123837e-05
"CDX2",19.8383089225937,3.43166083385275,0.991439887554553,3.46128986429743,0.000537593631298287,0.0116598271477662
"CEACAM6",94.5764560574156,4.55629365436908,0.702457767966845,6.48621719645377,8.80182561767539e-11,2.16033043469121e-08
"CEACAM8",144.081506767254,4.69072984175127,0.625896486356174,7.49441791734545,6.65932262873921e-14,3.34501696643062e-11
